player_id,match_id,accurateCross,accurateKeeperSweeper,accurateLongBalls,accuratePass,aerialLost,aerialWon,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalPass,totalTackle,touches,wasFouled,wonContest
794839,12436872,0,0,0,4,1,0,0,0,0,1,0,0,3,1,0,0,0.0,0.0,1,0,0,0.0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,7,0,0
922573,12436872,1,0,0,17,1,2,1,0,1,2,0,0,6,9,0,0,0.18646,0.0768,1,0,0,0.0,0,0,0,3,0,90,0,0,0,0,0,0,0,9,0,0,0,0,0,4,2,0,0,0,21,2,36,3,2
135666,12436872,0,0,0,2,0,1,0,0,0,0,0,0,1,3,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,2,2,7,0,0
547410,12436872,0,0,1,28,0,0,0,0,0,2,0,3,7,5,0,0,0.0597476,0.0151,0,0,0,0.0,0,0,0,2,0,90,1,0,0,0,0,0,0,10,0,0,0,0,0,5,1,0,1,0,32,1,52,1,3
856714,12436872,0,0,2,26,2,1,0,0,0,0,0,1,3,3,0,0,0.050452,0.0853,0,0,0,0.0,0,0,2,1,0,85,0,0,0,0,0,0,0,6,0,0,0,1,1,0,5,0,2,0,26,0,41,2,0
941168,12436872,0,0,0,54,0,3,0,0,0,0,0,0,1,7,0,1,0.0,0.0,1,0,0,0.0,0,0,1,0,0,90,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,2,0,62,4,72,0,0
869792,12436872,0,0,5,54,0,2,0,0,1,0,0,0,2,3,0,0,0.0187743,0.115,2,0,0,0.0,0,0,1,0,0,90,0,1,0,0,0,0,0,12,0,0,0,0,3,0,0,0,9,0,66,1,76,0,0
581310,12436872,0,0,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.1934,1,0,0,0,0,90,0,0,0,0,0,0,0,9,0,3,3,0,0,0,0,0,14,0,32,0,41,0,0
934235,12436872,2,0,0,18,0,0,1,1,0,0,0,2,5,4,0,0,0.370741,0.3522,2,1,1,0.0,0,0,0,5,0,80,3,0,0,0,0,0,0,11,0,0,0,2,1,1,5,0,0,0,20,2,44,2,0
287643,12436872,0,0,2,46,2,3,0,0,0,0,0,1,6,4,0,0,0.0406421,0.0,3,0,0,0.0,0,0,2,0,0,69,0,0,0,0,0,0,0,11,0,0,0,0,2,1,1,0,4,0,53,0,70,0,1
