player_id,team_id,player_name,position,nationality,date_of_birth,height,shirt_number
934235,42,Bukayo Saka,RW,England,2001-09-05,178,7
794839,42,Gabriel Jesus,ST,Brazil,1997-04-03,175,9
922573,42,Gabriel Martinelli,LW,Brazil,2001-06-18,180,11
135666,42,Leandro Trossard,LW,Belgium,1994-12-04,172,19
1401702,42,Ethan Nwaneri,MC,England,2007-03-21,176,53
998835,42,Nathan Butler-Oyedeji,ST,England,2003-01-04,177,37
836705,42,Kai Havertz,ST,Germany,1999-06-11,193,29
547410,42,Martin Ødegaard,MC,Norway,1998-12-17,178,8
138534,42,Raheem Sterling,LW,England,1994-12-08,170,30
316148,42,Thomas Partey,MC,Ghana,1993-06-13,185,5
856714,42,Declan Rice,MC,England,1999-01-14,188,41
132874,42,Jorginho,MC,Italy,1991-12-20,180,20
592010,42,Mikel Merino,MC,Spain,1996-06-22,188,23
1423711,42,Myles Lewis-Skelly,MC,England,2006-09-26,178,49
941168,42,William Saliba,DC,France,2001-03-24,193,2
869792,42,Gabriel Magalhães,DC,Brazil,1997-12-19,190,6
287643,42,Oleksandr Zinchenko,DL,Ukraine,1996-12-15,175,17
804434,42,Takehiro Tomiyasu,DR,Japan,1998-11-05,188,18
976037,42,Jakub Kiwior,DC,Poland,2000-02-15,189,15
957602,42,Riccardo Calafiori,DL,Italy,2002-05-19,188,33
958959,42,Jurriën Timber,DC,Netherlands,2001-06-17,179,12
846036,42,Ben White,DR,England,1997-10-08,186,4
366592,42,Kieran Tierney,DL,Scotland,1997-06-05,178,17
1486431,42,Josh Nichols,D,England,2006-07-26,NULL,51
581310,42,David Raya,GK,Spain,1995-09-15,183,22
84844,42,Neto,GK,Brazil,1989-07-19,190,32
173827,31,Jamie Vardy,ST,England,1987-01-11,178,9
103045,31,Jordan Ayew,RW,Ghana,1991-09-11,182,9
1103589,31,Abdul Fatawu Issahaku,RW,Ghana,2004-03-08,180,7
865057,31,Patson Daka,ST,Zambia,1998-10-09,185,20
795228,31,Odsonne Édouard,ST,France,1998-01-16,187,22
605338,31,Stephy Mavididi,LW,England,1998-05-31,182,10
1126569,31,Bilal El Khannouss,AM,Morocco,2004-05-10,180,11
833057,31,Hamza Choudhury,MC,Bangladesh,1997-10-01,178,17
1117025,31,Facundo Buonanotte,RW,Argentina,2004-12-23,174,40
787885,31,Wilfred Ndidi,MC,Nigeria,1996-12-16,186,6
859901,31,Oliver Skipp,MC,England,2000-09-16,175,22
545780,31,Harry Winks,MC,England,1996-02-02,178,8
887581,31,Boubakary Soumaré,MC,France,1999-02-27,188,24
151499,31,Bobby Decordova-Reid,RW,Jamaica,1993-02-02,170,14
1403055,31,Michael Golding,MC,England,2006-05-23,178,10
1065134,31,Kasey McAteer,RW,Ireland,2001-11-22,177,35
361696,31,Wout Faes,DC,Belgium,1998-04-03,185,3
1092409,31,Victor Kristiansen,DL,Denmark,2002-12-16,181,16
120538,31,Jannik Vestergaard,DC,Denmark,1992-08-03,199,23
221200,31,Ricardo Pereira,DR,Portugal,1993-10-06,175,21
827681,31,James Justin,DL,England,1998-02-23,183,2
967722,31,Caleb Okoli,DC,Italy,2001-07-13,187,5
98449,31,Conor Coady,DC,England,1993-02-25,184,4
991584,31,Luke Thomas,DL,England,2001-06-10,178,33
856640,31,Mads Hermansen,GK,Denmark,2000-07-11,187,30
197428,31,Danny Ward,GK,Wales,1993-06-22,191,1
997830,31,Jakub Stolarczyk,GK,Poland,2000-12-19,194,41
796986,31,Daniel Iversen,GK,Denmark,1997-07-19,190,31
975079,30,João Pedro,ST,Brazil,2001-09-26,188,9
999231,30,Evan Ferguson,ST,Ireland,2004-10-19,183,28
1400106,30,Yankuba Minteh,RW,Gambia,2004-07-22,180,17
33902,30,Danny Welbeck,ST,England,1990-11-26,185,18
946695,30,Georginio Rutter,ST,France,2002-04-20,182,14
1198075,30,Brajan Gruda,AM,Germany,2004-05-31,174,8
936849,30,Kaoru Mitoma,LW,Japan,1997-05-20,178,22
1110842,30,Simon Adingra,LW,Côte d’Ivoire,2002-01-01,175,24
886242,30,Jakub Moder,MC,Poland,1999-04-07,191,15
973556,30,Julio Enciso,ST,Paraguay,2004-01-22,173,10
1199043,30,Carlos Baleba,MC,Cameroon,2004-01-03,179,20
791,30,James Milner,MC,England,1986-01-04,175,6
891829,30,Matt O'Riley,MC,Denmark,2000-11-21,187,25
301288,30,Solly March,RW,England,1994-07-20,180,7
959628,30,Mats Wieffer,MC,Netherlands,1999-11-16,188,27
1036269,30,Yasin Ayari,MC,Sweden,2003-10-06,172,26
825844,30,Ferdi Kadıoğlu,DL,Türkiye,1999-10-07,174,24
805465,30,Pervis Estupiñán,DL,Ecuador,1998-01-21,175,30
914691,30,Tariq Lamptey,DR,Ghana,2000-09-30,165,2
115365,30,Lewis Dunk,DC,England,1991-11-21,190,5
962012,30,Jan Paul van Hecke,DC,Netherlands,2000-06-08,189,29
842513,30,Igor Júlio,DC,Brazil,1998-02-07,185,3
219572,30,Joël Veltman,DR,Netherlands,1992-01-15,184,34
1142315,30,Jack Hinshelwood,MC,England,2005-04-11,182,41
216308,30,Adam Webster,DC,England,1995-01-04,191,4
1008114,30,Imari Samuels,DL,England,2003-02-05,187,3
994363,30,Bart Verbruggen,GK,Netherlands,2002-08-18,193,1
31867,30,Jason Steele,GK,England,1990-08-18,188,23
927083,50,Bryan Mbeumo,RW,Cameroon,1999-08-07,173,19
805123,50,Yoane Wissa,ST,DR Congo,1996-09-03,176,11
1016907,50,Igor Thiago,ST,Brazil,2001-06-26,191,99
